,subgenre,artist_id,artist,popularity,followers,genre
56,cloud rap,4bbjivSh1oG4NOc7uYHfw5,Lil B,57,332992,Rap
57,memphis rap,08Ld63UgKrJ0nZnCkzHtzc,Project Pat,67,892029,Hip Hop
58,shoegaze,4g6ODwOQYRZLsP89kEoBIu,Narrow Head,50,138200,Alternative Rock
59,indie,0Y6dVaC9DZtPNH4591M42W,TV Girl,83,9329382,Indie
60,jazz rap,1FvjvACFvko2Z91IvDljrx,Mick Jenkins,57,654340,Jazz
61,bedroom pop,78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,76,3849063,Indie
62,indie,5INjqkS1o8h1imAzPqGZBb,Tame Impala,80,8499372,Indie
63,experimental hip hop,3A5tHz1SfngyOZM2gItYKu,Earl Sweatshirt,70,2323289,Rap
64,idm,6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,66,1573771,Ambient
65,breakcore,00hxNB9gMEeMFLLaW06F4J,Levi Ryan,44,9662,Electronic
66,rap,1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,72,6364993,Rap
67,melodic rap,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,85,18332192,Rap
68,hard house,4udW3rcRXEmwm706eR5h8u,t e s t p r e s s,42,12418,Dance
69,stutter house,3zW0xazqnHoq9QV9zBROVC,it's murph,61,60752,House
70,stutter house,2CpLIMBoE2ZzyY3ZBCRZ7j,BUNT.,69,206673,House
71,electronic,3ETvRzzQK7ppB28GcAE8rN,Mietze Conte,49,25595,Electronic
72,rap,50co4Is1HCEo8bhOyUWKpn,Young Thug,85,11121433,Rap
73,indie,0nnF48t4C8uqGS5HPnCN3F,49th & Main,59,46192,Indie
74,southern hip hop,5lHRUCqkQZCIWeX7xG4sYT,Rich Homie Quan,67,2922011,Hip Hop
75,nu jazz,6tcltBYoeWDm2P6NoawNIT,OMA,43,86787,Jazz
76,house,43BxCL6t4c73BQnIJtry5v,James Hype,69,416192,House
77,lo-fi house,1pR1W2iWfLwtMK776UeIcF,Cult Member,56,27647,Electronic
78,indie,48vDIufGC8ujPuBiTxY8dm,Palace,60,320376,Indie
79,classic rock,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,82,12599600,Rock
80,melodic house,5EmEZjq8eHEC6qFnT63Lza,Tinlicker,65,238390,House
81,cloud rap,6NGCqVZDdqSsN1CqCeiTmS,Ripsquad Archive,30,10109,Rap
82,jazz rap,6ftHlqrtNdAq0bWL7zkaTG,re:plus,38,45163,Jazz
83,indie,6bJCrLZcvsBMzve04BmgwS,Golden Vessel,45,60286,Indie
84,soundtrack,1DdhScDGl9AceKnbvgkFgz,Motoi Sakuraba,51,48045,Video Game
85,tech house,0w1sbtZVQoK6GzV4A4OkCv,Mau P,63,137842,House
86,house,6nS5roXSAGhTGr34W6n7Et,Disclosure,75,2280457,House
87,post-hardcore,0q6u5HyVK4zwGuzEtqjHqa,Fiddlehead,43,60484,Alternative Rock
88,reggaeton,0GM7qgcRCORpGnfcN2tCiB,Tainy,78,2666845,Latin
89,rap,51Pn4gGnZuyOMDfIT1Zy3N,The Underachievers,47,380830,Rap
90,cloud rap,6hG0VsXXlD10l60TqiIHIX,Ecco2k,60,298043,Electronic
91,west coast hip hop,0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,66,3511857,Hip Hop
92,memphis rap,0RESbWvOMyua0yuyVrztJ5,Key Glock,75,2180404,Rap
93,drill,15iVAtD3s3FsQR4w1v6M0P,Chief Keef,77,5417648,Rap
94,bedroom pop,2sSGPbdZJkaSE2AbcGOACx,The Marías,81,1976993,Indie
95,rage rap,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,81,2543379,Rap
96,rap,4LLpKhyESsyAXpc4laK94U,Mac Miller,83,11274688,Rap
97,underground hip hop,4PaHlM2H2hC3VQV4BfLo4B,Brennan Jones,48,29032,Rap
98,rap,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",92,19324582,Rap
99,stutter house,5Kmr0b3ip8g9P2i0dLTC3Z,Disco Lines,60,155228,House
100,indie,6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,69,2511796,Indie
101,indie,0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,67,1354489,Indie
102,shoegaze,1IHjrY7ygKbmLVoUV1VcXc,Superheaven,63,329167,Alternative Rock
103,idm,7Eu1txygG6nJttLHbZdQOh,Four Tet,63,763344,Ambient
104,hip hop,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,95,36236697,Hip Hop
105,acid techno,3oPI0nOC7MHooFy5qDsFrv,AIROD,40,42602,Techno
106,rap,5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,76,4916465,Rap
107,future house,5nki7yRhxgM509M5ADlN1p,Oliver Heldens,67,1053505,House
108,jazz rap,6XrpG3fOQBXzVBYjQUrsGv,Nomak,30,15591,Jazz
109,trap,6oMuImdp5ZcFhWP0ESe6mG,Migos,76,14228342,Rap
110,hard house,02fHczhlgEBCCjzjsNvJAh,LB aka LABAT,32,13847,Dance
111,rap,2ODbg2404zUzTi02qIPEjB,Tay-K,64,3664439,Rap
112,merengue,40FzPNKgu0k9VMvvidiKCl,Los Hermanos Rosario,57,348866,Latin
113,east coast hip hop,5cMgGlA1xGyeAB2ctYlRdZ,Gang Starr,64,1006433,Hip Hop
114,tech house,7kNqXtgeIwFtelmRjWv205,John Summit,73,430373,House
115,gangster rap,5spEJXLwD1sKUdC2bnOHPg,Bone Thugs-N-Harmony,66,3170000,Hip Hop
116,rap,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,93,36227346,Rap
117,southern hip hop,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,77,5769773,Rap
118,rap,68kEuyFKyqrdQQLLsmiatm,Vince Staples,68,1973107,Rap
119,rap,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,86,25495313,Rap
120,psychedelic rock,776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,69,7017029,Rock
121,breakcore,79W7uIUU51RwgRFeYeRrP6,Cynthoni,48,54723,Electronic
122,east coast hip hop,7BMccF0hQFBpP6417k1OtQ,Action Bronson,63,849512,Hip Hop
123,rap,7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,71,7597836,Rap
124,rap,1dqGS5sT6PE2wEvP1gROZC,Flatbush Zombies,55,1227434,Rap
125,rap,1Nd1g8fezKoJ6DGauWbZIm,Beast Coast,42,120737,Rap
126,experimental hip hop,0xWlWvXGQve3reUhtjlPrS,Edward Skeletrix,51,44119,Rap
127,shoegaze,79bG0WSxgj7fnJr9cDqPjL,Sleepwalk,45,28437,Alternative Rock
128,trance,0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,75,4471944,Dance
129,memphis rap,26s8LSolLfCIY88ysQbIuT,Three 6 Mafia,63,1384301,Hip Hop
130,indie,4o6dCIkmONTJL0ByDDUNYd,Mind’s Eye,47,56627,Indie
131,shoegaze,4zaUiALGzCjfr0s9WKXCXL,Blue Smiley,50,65415,Alternative Rock
132,witch house,7K3zpFXBvPcvzhj7zlGJdO,Crystal Castles,72,2905091,Electronic
133,rap,7e10JUMF7MJmmwYpnTSMI5,Dave East,57,701897,Rap
134,shoegaze,0RzwdSzh3shHCYdE36Fizn,all under heaven,39,32540,Alternative Rock
135,rap,4xRYI6VqpkE3UwrDrAZL8L,Logic,73,6109825,Rap
